"Source", "Source ID", "Category", "Name", "Threadcount" 
"House of Tartan" "826" "" "Abbotsford Commemorative Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/10K4W6K6Y4B8K6W6K6W6K6W6K6W6K6W6K6G8R6G6W4G4K/10"
"House of Tartan" "241" "" "Abercrombie Family Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/14K4B4K4B4K14G14W2G/28"
"House of Tartan" "1070" "" "Abercrombie Family Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; K/4B16R2K28G28W2G28R2K/24"
"House of Tartan" "1801" "" "Aberdeen District Tartan" "A=5C8CA8AZURE;K=101010BLACK;LG=289C18LIGHT GREEN;P=780078PURPLE;R=C80000RED;LR=D05054ROSE;W=E0E0E0WHITE; W/4LG8K32W4P12A8W4A8P12W4P6R16LR6W4LR6R16P6W4K24LG8K24W4P6R16LR6W4LR6R16P6W4A20W2R12LR6W2LR6R12W2LR8K32W4R46LR6W/4"
"House of Tartan" "2057" "" "Aberdeen F.C. Corporate Tartan" "K=101010BLACK;DR=901C38MARROON;R=C80000RED;W=E0E0E0WHITE; W/4K2DR56K6R56K2W/4"
"House of Tartan" "2694" "" "Aberdeen F.C. Corporate Tartan" "NB=003C64NAVY BLUE;O=D87C00ORANGE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; O/10NB2R4NB8R72NB44W8Y/4"
"House of Tartan" "2152" "" "Aberdeen University Corporate Tartan" "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;Y=E8C000YELLOW; Y/8B32K28R60Y/8"
"House of Tartan" "7748" "" "Aberfeldy District Tartan" "AB=506878ANC BLUE;A=5C8CA8AZURE;RR=901C38MARROON;AG=007460ANC GREEN;W=E0E0E0WHITE;K=101010BLACK W/4AB4K4A4AB64RR4AB4RR4K26AB4AG32RR4AG4W/4"
"House of Tartan" "6814" "" "Aberuchill District Tartan" "G=006818GREEN;DR=880000DARK RED;DP=440044DARK PURPLE;HG=285800HUNTING GREEN;DG=003820DARK GREEN;K=101010BLACK;MP=9C68A4MAUVE;DO=B84C00DARK ORANGE;TK=8C7038KHAKI;OG=58581COLIVE BROWN; MP/8K2OG10DP30OG30G55K4DO/6"
"House of Tartan" "3022" "" "Adams Clan/Family Tartan" "K=101010BLACK;DT=441800DARK BROWN;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;RB=1C0070ROYAL BLUE; DR/4RB44LN2G12DT34G10DT10G34K4G8DR/8"
"House of Tartan" "182" "" "Agnew Family Tartan" "B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/53G42R/14"
"House of Tartan" "1673" "" "Ailsa Craig Trade Tartan" "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/10W4B40Y4K32W36K4W/10"
"House of Tartan" "7605" "" "Ailsa Gold Fashion Tartan" "W=F0E0C8WHITE;P=780078PURPLE;MY=F8B400M YELLOW; MY/16W6MY56W64P6W/8"
"House of Tartan" "7591" "" "Ailsa Navy Fashion Tartan" "W=F0E0C8WHITE;RB=1C0070ROYAL BLUE;K=101010BLACK; RB/16W6RB56W64K6W/8"
"House of Tartan" "7587" "" "Ailsa Pink Fashion Tartan" "W=F0E0C8WHITE;CLR=E87878CORAL;K=101010BLACK; CLR/16W6CLR56W64K6W/8"
"House of Tartan" "7595" "" "Ailsa Royal Blue Fashion Tartan" "W=F0E0C8WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;A=5C8CA8AZURE; B/16A6B56W64NB6W/8"
"House of Tartan" "7604" "" "Ailsa Yellow Fashion Tartan" "W=F0E0C8WHITE;P=780078PURPLE;Y=FCE058M YELLOW; Y/16W6Y56W64P6W/8"
"House of Tartan" "586" "" "Ainslie Lake.. District Tartan" "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/6R2Y6R4G20W20B/12"
"House of Tartan" "2426" "" "Akins Clan Tartan" "A=5C8CA8AZURE;DG=003820DARK GREEN;DR=880000DARK RED;NB=003C64NAVY BLUE;R=C80000RED; A/8DG24NB22DR8R8DR8R8DR/24"
"House of Tartan" "997" "" "Akins Red Family Tartan" "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/12R8G10R26K26W10K26R26Y/12"
"House of Tartan" "3033" "" "Alabama Fancy Tartan" "K=101010BLACK;DN=5C5C5CDARK GREY;DR=880000DARK RED;G=006818GREEN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;R=C80000RED; R/6LN16K18G32R24DN24MY/6"
"House of Tartan" "6980" "" "Alabama American District Tartan" "W=E0E0E0WHITE;B=2C2C80BLUE;NB=003C64NAVY BLUE;N=888888GRAY;A=5C8CA8AZURE;RR=901C38MARROON;DCR=A00048CRIMSON;LRB=1474B4BALMORAL BLUE;R=C80000RED; W/6LRB4W4LRB4W2LRB50NB8N8A2N2A2N8NB8RR2NB2RR6NB2RR2NB8W2NB4W6R/10"
"House of Tartan" "8433" "" "Alaska Highlanders Pipes &amp; Drums Corporate Tartan" "WW=F8F8F8WILSON WHITE;B=2C2C80BLUE;LSB=98C8E8LIGHT SKY;YY=FCCC3CYELLOW-BASIC; WW/6B4LSB20B4YY8B4LSB54B/18"
"House of Tartan" "1945" "" "Alberta Trade Tartan" "K=101010BLACK;B=2C2C80BLUE;T=604000BROWN;G=006818GREEN; B16G8K8B1K1B1K1B1K1B1K1B1K1B1K1B20K4G12K24T8B1T1B1T1B1T1B1T1B1T1B1T1B28T6K4G50"
"House of Tartan" "2055" "" "Alberta District Tartan" "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;LR=D05054ROSE;Y=E8C000YELLOW; G/24K2LR2K2A4K2Y/8"
"House of Tartan" "1405" "" "Alexander Family Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; R/24B4R8B8K30G8R8G4R/24"
"House of Tartan" "10130" "" "Alich Dutch Personal Tartan" "P=780078PURPLE;NB=003C64NAVY BLUE;R=C80000RED;K=101010BLACK; P/4NB12R4K/200"
"House of Tartan" "4066" "" "All Irish Blue Irish District Tartan" "B=2C2C80BLUE;DB=202060DARK BLUE;DY=E8C000GOLD;G=006818GREEN;LB=2888C4LIGHT BLUE;LG=289C18LIGHT GREEN;LSB=98C8E8LIGHT SKY;AA=506494ANC AZURE;GN=406054GREEN GREY;WG=408060WTHRD GREEN;GO=BC8C00DARK GOLD; AA12LSB4B4AA60WG4AA4GO4LG8GO4WG4GO2WG36GO2LSB4B4GO8B4LSB4GO2WG36GO2WG4GO4LG8GO4AA4WG4AA60B4LSB4"
"House of Tartan" "4065" "" "All Irish Green Irish District Tartan" "DG=003820DARK GREEN;DR=880000DARK RED;G=006818GREEN;LG=289C18LIGHT GREEN;O=C44C10ORANGE; G/12LG4DR4G60O4LG8O4DG4O2DG40O2LG4DR/8"
